ID,My Deck,Opponent,Opp Deck,Opp Category,Play / Draw,Wins,Losses,Match Wins,Tot. Matches,Win Rate,Meta % (Leagues),Rolling Average,Date,Tournament,Comment
1,RG Saga Lands,Elmers,UB Control,Non-W Control,P,2,0,1,8,75%,4%,,6/3/2021,Practice,
2,RG Lands,Nathan,Doomsday,Doomsday,D,0,2,0,5,60%,2%,,6/3/2021,Weekly,
3,RG Saga Lands,danielnunes,Slivers,Tribal,P,2,0,1,22,73%,10%,,6/3/2021,League,
4,RG Saga Lands,Stryfo,Stryfo Pile,Non-W Control,P,2,0,1,8,75%,4%,,6/3/2021,League,
5,RG Saga Lands,BladeofIce,Elves,Tribal,D,2,0,1,22,73%,10%,,6/3/2021,League,
6,RG Saga Lands,Capriccioso,Lands,Lands,D,2,1,1,8,63%,4%,,6/3/2021,League,
7,RG Saga Lands,CaseyC,Landsy GSZ Pile,Brew,D,2,1,1,16,63%,8%,,6/3/2021,League,
8,RG Saga Lands,scoobylou,Elves,Tribal,P,2,1,1,22,73%,10%,,6/5/2021,League,
9,RG Saga Lands,nekojiro,Bant Control,UW,D,2,0,1,16,69%,8%,,6/5/2021,League,
10,RG Saga Lands,hakueri0,Omnishow,Show & Tell,P,0,2,0,15,53%,7%,80%,6/5/2021,League,
11,RG Saga Lands,Lethalbiscotti,Sneak & Show,Show & Tell,D,0,2,0,15,53%,7%,70%,6/5/2021,League,
12,RG Saga Lands,kiyoaggro,UR Delver,Delver,P,2,1,1,24,88%,11%,80%,6/5/2021,League,
13,RG Saga Lands,benicio,Grixis Delver,Delver,D,2,1,1,24,88%,11%,80%,6/11/2021,Practice,
14,RG Saga Lands,zhinonono,GW Depths,GW Depths,P,0,2,0,9,67%,4%,70%,6/12/2021,Tournament,
15,RG Saga Lands,AnziD,Bant Control,UW,D,1,2,0,16,69%,8%,60%,6/12/2021,Tournament,
16,RG Saga Lands,haneman,Merfolk,Tribal,D,2,1,1,22,73%,10%,60%,6/12/2021,Tournament,
17,RG Saga Lands,2plus2isfive,Omnishow,Show & Tell,D,0,2,0,15,53%,7%,50%,6/12/2021,Tournament,
18,RG Saga Lands,into_play,G Cloudpost,Big Mana,P,2,1,1,9,56%,4%,50%,6/12/2021,Tournament,
19,RG Saga Lands,Ark4n,Jeskai Delver,Delver,P,2,1,1,24,88%,11%,50%,6/12/2021,Tournament,
20,RG Saga Lands,utley26,Painter,Painter,D,0,2,0,6,67%,3%,50%,6/13/2021,League,
21,RG Saga Lands,DEANmachine,Burn,Burn,P,2,0,1,4,75%,2%,60%,6/13/2021,League,
22,RG Saga Lands,Gutzar,BR Reanimator,Graveyard,P,1,2,0,11,73%,5%,50%,6/14/2021,League,
23,RG Saga Lands,melody_5233,Pox,Pox,P,2,1,1,7,100%,3%,50%,6/14/2021,League,
24,RG Saga Lands,StarMonkey,Maverick,Knight,P,0,2,0,4,25%,2%,50%,6/14/2021,League,"keep karakas agains them, questing beast is a big pain"
25,RG Saga Lands,greenpm3,Bant Control,UW,D,2,0,1,16,69%,8%,60%,6/14/2021,League,
26,RG Saga Lands,Gurt_Benoit,Burn,Burn,P,1,2,0,4,75%,2%,50%,6/14/2021,League,
27,RG Saga Lands,Rodomyrtus_81,ANT,Storm,D,0,2,0,9,56%,4%,50%,6/14/2021,League,
28,RG Saga Lands,Mstarkin,Omnishow,Show & Tell,P,2,0,1,15,53%,7%,50%,6/14/2021,League,saga plus sphere is a real plan
29,RG Saga Lands,Caedryn,Goblins,Tribal,P,1,2,0,22,73%,10%,40%,6/14/2021,League,can copy their ports
30,RG Saga Lands,PTPaul,G Cloudpost,Big Mana,P,2,0,1,9,56%,4%,50%,6/15/2021,League,
31,RG Saga Lands,kid888,RUG Delver,Delver,D,1,2,0,24,88%,11%,40%,6/15/2021,League,
32,RG Saga Lands,PanHanGo,4c Loam,Knight,P,1,2,0,4,25%,2%,40%,6/15/2021,League,
33,RG Saga Lands,Pmizz,Sneak & Show,Show & Tell,D,1,2,0,15,53%,7%,30%,6/15/2021,League,
34,RG Saga Lands,,Jeskai Delver,Delver,D,2,0,1,24,88%,11%,40%,6/15/2021,League,
35,RG Saga Lands,ecobarnonen,Omnishow,Show & Tell,P,2,1,1,15,53%,7%,40%,6/19/2021,Tournament,
36,RG Saga Lands,djizma,Witherbloom Combo,Brew,P,1,2,0,16,63%,8%,40%,6/19/2021,Tournament,
37,RG Saga Lands,gernandes,GW Depths,GW Depths,D,2,1,1,9,67%,4%,50%,6/19/2021,Tournament,
38,RG Saga Lands,rastaf,UR Delver,Delver,P,1,2,0,24,88%,11%,40%,6/19/2021,Tournament,
39,RG Saga Lands,Fenruscloud,Infect,Infect,P,1,2,0,2,0%,1%,40%,6/19/2021,Tournament,
40,RG Saga Lands,taka1208,UR Delver,Delver,P,2,1,1,24,88%,11%,40%,6/19/2021,Tournament,
